"Rank","Username","Owner","Followers(millions)","Profession_or_Activity","Country"
"1","@instagram","Instagram","424","Social media platform"," United States"
"2","@cristiano","Cristiano Ronaldo","348","Footballer"," Portugal"
"3","@therock","Dwayne Johnson","271","Actor and professional wrestler"," United States"
"4","@kyliejenner","Kylie Jenner","271","Television personality, model, and businesswoman"," United States"
"5","@leomessi","Lionel Messi","269","Footballer"," Argentina"
"6","@arianagrande","Ariana Grande","267","Musician and actress"," United States"
"7","@selenagomez","Selena Gomez","264","Musician and actress"," United States"
"8","@kimkardashian","Kim Kardashian","255","Television personality, model, and businesswoman"," United States"
"9","@beyonce","Beyoncé","210","Musician"," United States"
"10","@justinbieber","Justin Bieber","197","Musician"," Canada"
"11","@kendalljenner","Kendall Jenner","191","Model and television personality"," United States"
"12","@natgeo","National Geographic","186","Magazine"," United States"
"13","@khloekardashian","Khloé Kardashian","185","Television personality and model"," United States"
"14","@taylorswift","Taylor Swift","180","Musician"," United States"
"15","@jlo","Jennifer Lopez","177","Musician and actress"," United States"
"16","@nike","Nike","175","Sportswear multinational"," United States"
"17","@neymarjr","Neymar","161","Footballer"," Brazil"
"18","@nickiminaj","Nicki Minaj","158","Musician"," Trinidad and Tobago"
"19","@virat.kohli","Virat Kohli","156","Cricketer"," India"
"20","@mileycyrus","Miley Cyrus","147","Musician and actress"," United States"
"21","@kourtneykardash","Kourtney Kardashian","144","Television personality and model"," United States"
"22","@katyperry","Katy Perry","136","Musician"," United States"
"23","@kevinhart4real","Kevin Hart","124","Comedian and actor"," United States"
"24","@ddlovato","Demi Lovato","116","Musician and actor"," United States"
"25","@iamcardib","Cardi B","110","Musician"," United States"
"26","@zendaya","Zendaya","109","Actress and musician"," United States"
"27","@badgalriri","Rihanna","108","Musician and businesswoman"," Barbados"
"28","@theellenshow","Ellen DeGeneres","107","Comedian and television personality"," United States"
"29","@realmadrid","Real Madrid CF","103","Football club"," Spain"
"30","@fcbarcelona","FC Barcelona","100","Football club"," Spain"
"31","@kingjames","LeBron James","98","Basketball player"," United States"
"32","@chrisbrownofficial","Chris Brown","93","Musician"," United States"
"33","@champagnepapi","Drake","93","Musician"," Canada"
"34","@billieeilish","Billie Eilish","92","Musician"," United States"
"35","@championsleague","UEFA Champions League","80","Club football competition"," Europe"
"36","@vindiesel","Vin Diesel","74","Actor"," United States"
"37","@dualipa","Dua Lipa","72","Musician"," United Kingdom"
"38","@shakira","Shakira","70","Musician"," Colombia"
"39","@victoriassecret","Victoria's Secret","70","Lingerie brand"," United States"
"40","@gigihadid","Gigi Hadid","69","Model"," United States"
"41","@nasa","NASA","69","Space agency"," United States"
"42","@davidbeckham","David Beckham","68","Footballer"," United Kingdom"
"43","@priyankachopra","Priyanka Chopra","68","Actress and musician"," India"
"44","@shraddhakapoor","Shraddha Kapoor","65","Actress"," India"
"45","@snoopdogg","Snoop Dogg","65","Musician"," United States"
"46","@shawnmendes","Shawn Mendes","63","Musician"," Canada"
"47","@nehakakkar","Neha Kakkar","62","Musician"," India"
"48","@gal_gadot","Gal Gadot","62","Actress"," Israel"
"49","@justintimberlake","Justin Timberlake","61","Musician and actor"," United States"
"50","@lalalalisa_m","Lisa","60","Musician"," Thailand"
